,word,frequency,per_million,doc_freq,doc_percentage
11,able,1487,521.1549663,1132,13.66159788
20,public,1211,424.42411849999996,851,10.27033551
28,former,1052,368.6987388,693,8.363504707
29,such,1052,368.6987388,875,10.55998069
30,chinese,1028,360.28736069999997,500,6.03427468
33,israeli,1014,355.3807235,409,4.936036688
34,global,1000,350.4740863,671,8.097996621
37,available,980,343.46460460000003,910,10.98237992
43,economic,892,312.622885,643,7.760077239
45,live,867,303.86103280000003,817,9.860004827000001
47,pandemic,821,287.7392248,692,8.351436157
55,federal,714,250.2384976,453,5.46705286
59,past,684,239.724275,602,7.265266715
65,korean,626,219.39677799999998,317,3.825730147
66,top,608,213.08824449999997,505,6.094617427
69,covid,581,203.62544409999998,437,5.27395607
70,enough,580,203.2749701,498,6.010137581
72,american,565,198.01785880000003,429,5.1774076760000005
78,less,527,184.69984350000001,468,5.648081101
80,japanese,523,183.2979471,378,4.5619116580000005
81,russian,522,182.947473,238,2.872314748
82,huge,519,181.8960508,450,5.430847212000001
83,positive,515,180.4941544,407,4.91189959
86,current,506,177.3398877,420,5.068790731
87,central,493,172.7837245,384,4.634322954
90,main,464,162.619976,405,4.887762491
93,non,434,152.1057535,353,4.260197924
94,general,432,151.40480530000002,354,4.272266473999999
95,british,421,147.5495903,261,3.149891383
96,entire,420,147.1991162,383,4.622254405
97,afghan,418,146.4981681,205,2.474052619
101,anti,404,141.5915309,294,3.548153512
102,financial,403,141.24105680000002,292,3.524016413
104,serious,392,137.3858418,347,4.1877866280000005
105,legal,388,135.9839455,280,3.3791938210000003
106,prime,387,135.63347140000002,276,3.330919623
109,effective,380,133.1801528,293,3.536084963
111,palestinian,380,133.1801528,145,1.7499396569999999
112,previous,379,132.8296787,343,4.139512431
117,massive,368,128.9744638,326,3.9343470910000002
118,indian,364,127.57256740000001,181,2.184407434
122,critical,355,124.41830060000001,294,3.548153512
124,various,343,120.21261159999999,304,3.6688390060000002
125,severe,338,118.4602412,276,3.330919623
128,civil,328,114.9555003,240,2.896451846
129,french,323,113.20312990000001,154,1.8585566009999999
131,ongoing,319,111.8012335,288,3.4757422160000004
133,criminal,317,111.1002854,223,2.691286507
134,digital,314,110.0488631,158,1.906830799
135,tough,307,107.5955445,264,3.186097031
137,vaccinated,304,106.5441222,231,2.7878349019999997
139,diplomatic,304,106.5441222,220,2.655080859
140,particular,303,106.19364809999999,262,3.161959932
142,concerned,299,104.79175179999999,266,3.21023413
143,chief,298,104.4412777,265,3.19816558
144,democratic,298,104.4412777,242,2.920588945
145,jewish,296,103.7403295,145,1.7499396569999999
146,total,293,102.6889073,263,3.1740284819999998
147,domestic,293,102.6889073,227,2.739560705
148,european,293,102.6889073,206,2.486121168
149,future,292,102.33843320000001,257,3.1016171860000004
150,fourth,282,98.83369234,225,2.7154236060000003
151,regional,279,97.78227008,222,2.679217958
157,joint,264,92.52515878,215,2.594738112
159,nigerian,261,91.47373652,160,1.930967898
161,multiple,259,90.77278835,233,2.8119720010000004
162,responsible,259,90.77278835,232,2.7999034519999997
164,deep,255,89.37089201,223,2.691286507
165,worth,249,87.26804749,221,2.667149409
168,african,244,85.51567706,150,1.810282404
169,canadian,243,85.16520297,138,1.665459812
170,iranian,242,84.81472888,110,1.32754043
171,potential,241,84.46425479999999,222,2.679217958
173,essential,239,83.76330662,187,2.25681873
175,mass,238,83.41283254,208,2.5102582669999998
180,presidential,232,81.30998802,173,2.087859039
185,vulnerable,224,78.50619533,183,2.208544533
188,german,221,77.45477307,132,1.5930485159999999
189,sexual,217,76.05287673,113,1.3637460780000001
191,indigenous,212,74.30050629,107,1.291334782
196,religious,207,72.54813586,156,1.8826937
197,asian,207,72.54813586,131,1.580979966
198,guilty,206,72.19766178,130,1.5689114169999998
201,annual,203,71.14623952,191,2.305092928
202,arab,199,69.74434317,97,1.170649288
203,underway,197,69.04339499999999,182,2.196475984
206,strategic,193,67.64149866,158,1.906830799
210,rare,189,66.23960231,153,1.846488052
211,executive,189,66.23960231,131,1.580979966
214,aware,182,63.78628371,165,1.9913106440000001
215,extreme,181,63.43580962,145,1.7499396569999999
216,civilian,181,63.43580962,120,1.448225923
217,pre,180,63.08533553,155,1.870625151
218,independent,175,61.33296510000001,143,1.7258025590000001
219,eligible,174,60.98249102,151,1.8223509530000002
222,virtual,174,60.98249102,135,1.629254164
223,environmental,174,60.98249102,126,1.5206372190000002
224,islamic,172,60.28154284,128,1.5447743180000002
226,immediate,171,59.93106876,159,1.918899348
227,rapid,169,59.23012058,133,1.605117065
228,pro,168,58.8796465,118,1.424088825
230,active,167,58.52917241,145,1.7499396569999999
232,historic,164,57.47775015,140,1.68959691
236,mental,162,56.77680198,102,1.230992035
239,unvaccinated,160,56.07585381,111,1.339608979
240,republican,159,55.72537972,96,1.158580739
241,crucial,159,55.72537972,150,1.810282404
243,internal,156,54.67395746,131,1.580979966
244,unable,155,54.32348338,148,1.786145305
245,commercial,155,54.32348338,128,1.5447743180000002
246,sustainable,153,53.62253520000001,115,1.3878831759999999
247,amazing,150,52.57111294,120,1.448225923
250,rural,150,52.57111294,107,1.291334782
251,cultural,149,52.22063886,111,1.339608979
254,limited,147,51.51969069,131,1.580979966
255,devastating,147,51.51969069,132,1.5930485159999999
257,desperate,145,50.81874251,127,1.532705769
258,unique,145,50.81874251,133,1.605117065
260,temporary,143,50.11779434,129,1.5568428669999999
261,ethnic,143,50.11779434,92,1.110306541
265,electoral,140,49.06637208,86,1.037895245
266,proud,139,48.715897999999996,112,1.3516775280000002
268,present,139,48.715897999999996,136,1.641322713
270,initial,137,48.01494982,125,1.50856867
274,industrial,134,46.96352756,104,1.255129133
275,overall,133,46.61305348,122,1.472363022
280,conservative,130,45.56163122,95,1.146512189
285,australian,127,44.51020896,88,1.0620323440000001
287,primary,126,44.15973487,94,1.13444364
288,unprecedented,124,43.458786700000005,105,1.267197683
289,residential,124,43.458786700000005,81,0.977552498
295,urgent,120,42.05689036,117,1.412020275
298,relevant,118,41.35594218,107,1.291334782
300,mandatory,117,41.0054681,94,1.13444364
302,friendly,116,40.65499401,95,1.146512189
303,stable,115,40.30451992,93,1.1223750909999999
306,provincial,114,39.95404584,84,1.013758146
311,controversial,111,38.90262358,103,1.243060584
312,about,111,38.90262358,107,1.291334782
313,ballistic,111,38.90262358,62,0.74825006
314,infectious,110,38.55214949,92,1.110306541
315,emotional,109,38.20167541,96,1.158580739
321,nearby,107,37.50072723,104,1.255129133
324,constitutional,106,37.15025315,83,1.001689597
325,individual,105,36.79977906,95,1.146512189
326,post,105,36.79977906,99,1.194786387
327,welcome,104,36.44930497,103,1.243060584
328,cyber,104,36.44930497,59,0.712044412
329,solar,104,36.44930497,71,0.856867005
330,fifth,103,36.09883089,91,1.098237992
331,dramatic,103,36.09883089,91,1.098237992
334,contagious,101,35.39788272,83,1.001689597
336,technical,101,35.39788272,83,1.001689597
337,agricultural,101,35.39788272,67,0.808592807
338,near,100,35.04740863,96,1.158580739
341,giant,100,35.04740863,92,1.110306541
342,clinical,99,34.69693454,72,0.8689355540000001
344,FALSE,98,34.34646046,77,0.929278301
349,permanent,98,34.34646046,79,0.953415399
350,inclusive,98,34.34646046,73,0.881004103
351,heather,98,34.34646046,66,0.7965242579999999
353,pregnant,97,33.99598637,63,0.76031861
354,retail,97,33.99598637,75,0.905141202
355,upcoming,97,33.99598637,93,1.1223750909999999
356,vital,97,33.99598637,95,1.146512189
357,minimum,96,33.64551228,62,0.74825006
359,immune,96,33.64551228,75,0.905141202
361,actual,95,33.2950382,89,1.074100893
362,complex,94,32.94456411,88,1.0620323440000001
364,grand,94,32.94456411,70,0.844798455
366,intense,93,32.59409003,83,1.001689597
367,broad,93,32.59409003,89,1.074100893
368,holy,92,32.24361594,68,0.820661357
369,intensive,92,32.24361594,80,0.965483949
371,complicated,91,31.89314185,83,1.001689597
372,multi,90,31.54266777,84,1.013758146
373,very,90,31.54266777,89,1.074100893
374,liberal,90,31.54266777,64,0.7723871590000001
376,imperial,90,31.54266777,49,0.591358919
377,vast,89,31.19219368,86,1.037895245
378,fake,89,31.19219368,60,0.7241129620000001
379,maximum,89,31.19219368,82,0.989621048
380,overseas,89,31.19219368,79,0.953415399
381,sharp,88,30.84171959,83,1.001689597
382,aggressive,88,30.84171959,78,0.94134685
384,operational,88,30.84171959,80,0.965483949
385,maritime,88,30.84171959,54,0.651701665
387,migrant,87,30.49124551,56,0.6758387640000001
