word,frequency,per_million,doc_freq,doc_percentage
more,7299,2558.110356,4060,48.9983104
new,4935,1729.589616,2736,33.01955105
other,4020,1408.905827,2792,33.69538981
many,3677,1288.693215,2426,29.27830075
first,3560,1247.687747,2429,29.3145064
last,3386,1186.705256,2417,29.1696838
good,2380,834.1283254,1655,19.97344919
high,2290,802.5856576,1627,19.63552981
big,1950,683.4244683,1422,17.16147719
next,1739,609.4744361,1384,16.70287231
old,1672,585.9926723,1184,14.28916244
able,1487,521.1549663,1132,13.66159788
few,1427,500.1265211,1171,14.1322713
long,1371,480.4999723,1067,12.87714217
national,1302,456.3172604,923,11.13927106
late,1275,446.85446,1048,12.64783973
large,1259,441.2468746,1037,12.51508569
international,1228,430.382178,877,10.58411779
same,1217,426.526963,1013,12.2254405
different,1215,425.8260149,927,11.18754526
public,1211,424.4241185,851,10.27033551
local,1209,423.7231703,889,10.72894038
second,1165,408.3023105,916,11.05479121
important,1151,403.3956733,906,10.93410572
own,1117,391.4795544,895,10.80135168
military,1077,377.4605909,622,7.506637702
political,1072,375.7082205,699,8.435916003
most,1057,370.4511092,887,10.70480328
former,1052,368.6987388,693,8.363504707
such,1052,368.6987388,875,10.55998069
chinese,1028,360.2873607,500,6.03427468
young,1027,359.9368866,717,8.653149891
bad,1020,357.483568,813,9.81173063
israeli,1014,355.3807235,409,4.936036688
global,1000,350.4740863,671,8.097996621
great,998,349.7731381,783,9.449674149
little,981,343.8150787,773,9.328988656
available,980,343.4646046,910,10.98237992
foreign,941,329.7961152,707,8.532464398
much,932,326.6418484,787,9.497948347
major,920,322.4361594,757,9.135891866
right,915,320.683789,729,8.797972484
social,911,319.2818926,659,7.953174028
economic,892,312.622885,643,7.760077239
several,887,310.8705145,770,9.292783007
live,867,303.8610328,817,9.860004827
low,855,299.6553438,667,8.049722423
pandemic,821,287.7392248,692,8.351436157
safe,810,283.8840099,616,7.434226406
sure,805,282.1316395,676,8.158339368
small,800,280.379269,648,7.820419986
recent,780,273.3697873,685,8.266956312
possible,777,272.3183651,686,8.279024861
clear,740,259.3508239,629,7.591117548
strong,718,251.640394,596,7.192855419
federal,714,250.2384976,453,5.46705286
medical,713,249.8880235,522,6.299782766
full,707,247.785179,602,7.265266715
human,702,246.0328086,495,5.973931933
past,684,239.724275,602,7.265266715
least,663,232.3643192,588,7.096307024
early,653,228.8595784,558,6.734250543
third,644,225.7053116,492,5.937726285
well,639,223.9529411,567,6.842867487
close,632,221.4996225,567,6.842867487
korean,626,219.396778,317,3.825730147
top,608,213.0882445,505,6.094617427
difficult,607,212.7377704,533,6.432536809
real,604,211.6863481,487,5.877383538
covid,581,203.6254441,437,5.27395607
enough,580,203.2749701,498,6.010137581
open,579,202.924496,478,5.768766594
american,565,198.0178588,429,5.177407676
free,553,193.8121697,440,5.310161719
nuclear,545,191.008377,227,2.739560705
special,544,190.6579029,443,5.346367367
hard,538,188.5550584,469,5.66014965
only,528,185.0503176,476,5.744629496
less,527,184.6998435,468,5.648081101
whole,525,183.9988953,471,5.684286749
japanese,523,183.2979471,378,4.561911658
russian,522,182.947473,238,2.872314748
huge,519,181.8960508,450,5.430847212
positive,515,180.4941544,407,4.91189959
key,511,179.0922581,435,5.249818972
south,510,178.741784,374,4.513637461
current,506,177.3398877,420,5.068790731
central,493,172.7837245,384,4.634322954
ready,478,167.5266132,395,4.767076997
daily,469,164.3723465,394,4.755008448
main,464,162.619976,405,4.887762491
likely,461,161.5685538,402,4.851556843
happy,441,154.5590721,351,4.236060825
non,434,152.1057535,353,4.260197924
general,432,151.4048053,354,4.272266474
british,421,147.5495903,261,3.149891383
entire,420,147.1991162,383,4.622254405
afghan,418,146.4981681,205,2.474052619
black,416,145.7972199,261,3.149891383
private,415,145.4467458,303,3.656770456
short,411,144.0448495,366,4.417089066
