word,frequency,per_million,doc_freq,doc_percentage
people,10724,3758.484101444023,4294.0,51.822350953415395
year,8676,3040.713172708723,4227.0,51.01375814627082
country,7620,2670.6125375795837,3658.0,44.146753560222066
time,5478,1919.8970447324095,3515.0,42.4209510016896
government,5453,1911.1351925749962,2644.0,31.90924450881004
day,5007,1754.8237500867422,2988.0,36.060825488776246
state,4090,1433.4390129528213,1908.0,23.026792179580013
vaccine,3932,1378.064107317969,1056.0,12.744388124547429
world,3315,1161.8215960730079,2042.0,24.643977793869176
case,3311,1160.4196997278218,1624.0,19.59932416123582
week,3236,1134.1341432555819,2138.0,25.8025585324644
news,3039,1065.0907482551647,2448.0,29.54380883417813
month,2767,969.7617967825076,1948.0,23.50953415399469
today,2615,916.4897356654346,1688.0,20.371711320299298
number,2442,855.8577187361343,1569.0,18.935553946415638
way,2405,842.8901775431627,1816.0,21.916485638426263
part,2403,842.1892293705696,1856.0,22.399227612840935
lot,2350,823.6141027968533,1482.0,17.88559015206372
thing,2340,820.109361933888,1620.0,19.551049963794352
police,2208,773.8467825427456,886.0,10.692734733285059
family,2162,757.724974573105,1238.0,14.940864108134203
percent,2110,739.5003220856853,1235.0,14.904658460053103
life,2054,719.8737732530794,1473.0,17.776973207820422
area,2049,718.1214028215968,1365.0,16.473569876900797
health,1991,697.7939058163978,1150.0,13.878831764421918
place,1958,686.2282609686123,1504.0,18.151098237991796
city,1888,661.695074927855,1110.0,13.39608979000724
thank,1885,660.6436526689654,1053.0,12.708182476466328
home,1864,653.2836968567381,1230.0,14.844315713251266
group,1837,643.8208965267316,1173.0,14.156408399710354
president,1824,639.2647334048768,1025.0,12.370263094376057
child,1816,636.4609407145045,839.0,10.125512913347816
event,1808,633.6571480241323,1401.0,16.908037653874004
security,1757,615.782969623009,981.0,11.839246922519914
right,1739,609.4744360696714,1309.0,15.797731112720252
company,1735,608.0725397244853,900.0,10.861694424330196
report,1704,597.2078430492928,1139.0,13.74607772145788
hour,1625,569.5203902318667,1194.0,14.409847936278059
community,1571,550.5947895718538,964.0,11.634081583393677
official,1563,547.7909968814816,1115.0,13.456432536809077
woman,1561,547.0900487088886,737.0,8.894520878590393
issue,1550,543.2348337596267,1039.0,12.539222785421192
dollar,1542,540.4310410692544,898.0,10.837557325609462
school,1520,532.7206111707306,632.0,7.62732319575187
member,1506,527.8139739625792,1047.0,12.635771180304129
authority,1495,523.9587590133173,1012.0,12.213371952691286
leader,1490,522.2063885818346,978.0,11.803041274438812
course,1481,519.0521218051658,1035.0,12.490948587979725
channel,1460,511.69216599293867,767.0,9.2565773594014
pandemic,1451,508.5378992162699,1056.0,12.744388124547429
party,1431,501.52841749033917,643.0,7.7600772387159065
force,1428,500.47699523144956,862.0,10.403089548636254
morning,1395,488.911350383664,878.0,10.596186338402124
system,1383,484.7056613481056,929.0,11.211682355780834
water,1380,483.65423908921593,609.0,7.349746560463433
situation,1360,476.64475736328535,1035.0,12.490948587979725
vaccination,1347,472.08859424143037,703.0,8.48419020033792
video,1335,467.88290520587196,1033.0,12.466811489258992
end,1332,466.83148294698236,1093.0,13.190924450881003
business,1330,466.13053477438933,836.0,10.089307265266715
man,1317,461.5743716525344,879.0,10.608254887762492
one,1309,458.7705789621621,1090.0,13.154718802799902
hospital,1299,455.26583809919674,697.0,8.411778904175717
region,1285,450.35920089104536,823.0,9.932416123581946
minister,1272,445.8030377691904,804.0,9.703113685734975
law,1235,432.83549657621865,721.0,8.701424088824524
election,1226,429.68122979954984,508.0,6.1308230750663775
power,1205,422.3212739873226,809.0,9.763456432536808
attack,1200,420.56890355584,600.0,7.241129616220131
death,1196,419.1670072106539,779.0,9.401399951725804
worker,1189,416.7136886065781,645.0,7.78421433743664
service,1184,414.96131817509547,780.0,9.41346850108617
move,1159,406.19946601768214,1019.0,12.297851798213856
tonight,1156,405.14804375879254,465.0,5.611875452570601
nation,1151,403.39567332730985,844.0,10.185855660149649
point,1123,393.5823989110069,855.0,10.318609703113687
dose,1116,391.1290803069312,486.0,5.865314989138305
variant,1091,382.3672281495178,461.0,5.563601255129134
plan,1087,380.9653318043317,785.0,9.473811247888003
change,1085,380.2643836317386,729.0,8.797972483707458
border,1082,379.212961372849,503.0,6.0704803282645425
side,1082,379.212961372849,757.0,9.135891865797731
term,1081,378.8624872865525,802.0,9.67897658701424
story,1079,378.1615391139594,829.0,10.004827419744148
team,1060,371.50253147432534,641.0,7.735940139995173
concern,1059,371.15205738802877,812.0,9.79966208061791
fire,1057,370.45110921543574,433.0,5.225681873038861
virus,1042,365.1939979209877,604.0,7.289403813661598
level,1040,364.49304974839464,770.0,9.292783007482502
measure,1030,360.9883088854293,733.0,8.846246681148925
work,1028,360.2873607128363,784.0,9.461742698527637
infection,1023,358.5349902813536,631.0,7.615254646391503
effort,1020,357.483568022464,827.0,9.980690321023413
coronavirus,1011,354.3293012457952,774.0,9.341057204923969
fact,1011,354.3293012457952,805.0,9.715182235095341
center,997,349.4226640376437,686.0,8.279024861211683
court,995,348.7217158650506,482.0,5.817040791696838
question,988,346.26839726097495,750.0,9.051412020275162
meeting,975,341.71223413911997,579.0,6.987690079652426
house,968,339.25891553504425,658.0,7.94110547912141
order,934,327.3427966009621,717.0,8.653149891383055
car,934,327.3427966009621,465.0,5.611875452570601
game,928,325.2399520831829,446.0,5.38257301472363
support,918,321.7352112202176,702.0,8.472121650977552
problem,916,321.0342630476245,711.0,8.580738595220854
test,907,317.87999627095576,492.0,5.937726285300507
thousand,905,317.17904809836267,722.0,8.71349263818489
decision,905,317.17904809836267,637.0,7.687665942553705
officer,898,314.72572949428695,463.0,5.5877383538498675
economy,896,314.02478132169387,588.0,7.0963070238957275
job,891,312.2724108902112,612.0,7.385952208544532
person,888,311.2209886313216,680.0,8.20661356504948
medium,879,308.06672185465277,633.0,7.639391745112238
risk,878,307.71624776835625,659.0,7.953174028481777
capital,878,307.71624776835625,667.0,8.049722423364711
moment,877,307.3657736820597,709.0,8.556601496500122
emergency,864,302.8096105602048,598.0,7.216992517499396
food,858,300.7067660424256,500.0,6.034274680183442
kind,858,300.7067660424256,691.0,8.339367608013516
