word,frequency,per_million,doc_freq,doc_percentage
be,44674,15657.07933121133,7296.0,88.05213613323679
say,14216,4982.339610791518,5704.0,68.83900555153271
have,12785,4480.811193301179,5166.0,62.34612599565532
go,8315,2914.1920275556745,3833.0,46.258749698286266
get,7482,2622.247113670662,3817.0,46.06565290852039
know,6882,2411.9626618927423,3082.0,37.195269128650736
see,6475,2269.3197087700532,3336.0,40.26068066618392
come,6281,2201.3277360285256,3837.0,46.30702389572773
take,5768,2021.534529758404,3601.0,43.45884624668115
make,5477,1919.5465706461132,3470.0,41.877866280473086
do,5249,1839.6384789705035,2960.0,35.722906106685976
think,3737,1309.721660490145,2036.0,24.571566497706975
want,3469,1215.794605362674,2169.0,26.176683562635773
call,2739,959.9485223662048,2025.0,24.43881245474294
use,2644,926.6534841680341,1790.0,21.602703355056722
need,2638,924.5506396502549,1747.0,21.083755732560945
look,2626,920.3449506146965,1831.0,22.097513878831766
give,2613,915.7887874928416,1943.0,23.449191407192853
work,2505,877.9375861728159,1758.0,21.216509775524983
show,2419,847.7968147513141,1908.0,23.026792179580013
tell,2317,812.0484579490677,1660.0,20.033791938209028
include,2308,808.8941911723989,1848.0,22.302679217958
try,2296,804.6885021368405,1607.0,19.394158822109585
happen,2205,772.795360283856,1525.0,18.404537774559497
start,2172,761.2297154360704,1630.0,19.67173545739802
mean,2112,740.2012702582783,1524.0,18.392469225199132
find,2084,730.3879958419755,1429.0,17.245957035964278
help,2025,709.71002475048,1445.0,17.43905382573015
continue,1992,698.1443799026944,1539.0,18.573497465604635
watch,1916,671.5083493441578,1056.0,12.744388124547429
report,1799,630.5028812474635,1403.0,16.93217475259474
bring,1785,625.596244039312,1387.0,16.73907796282887
leave,1754,614.7315473641194,1274.0,15.37533188510741
put,1600,560.7585380744533,1277.0,15.41153753318851
expect,1585,555.5014267800053,1210.0,14.602944726043928
let,1560,546.739574622592,1222.0,14.747767318368332
hold,1491,522.5568626681311,1181.0,14.252956794593292
feel,1452,508.8883733025664,1025.0,12.370263094376057
become,1433,502.2293656629322,1156.0,13.951243060584117
keep,1424,499.0750988862634,1100.0,13.275404296403574
break,1365,478.397127794768,1177.0,14.204682597151821
thank,1360,476.64475736328535,1097.0,13.239198648322473
lead,1358,475.94380919069226,1100.0,13.275404296403574
hear,1326,464.7286384292032,923.0,11.139271059618634
live,1310,459.12105304845863,980.0,11.827178373159546
talk,1300,455.6163121854933,936.0,11.296162201303403
speak,1294,453.5134676677141,1023.0,12.34612599565532
download,1281,448.9573045458592,1271.0,15.33912623702631
believe,1270,445.1020895965973,1018.0,12.285783248853487
allow,1260,441.597348733632,976.0,11.778904175718079
move,1249,437.7421337843701,1013.0,12.225440502051653
ask,1229,430.73265205843944,999.0,12.056480811006518
vaccinate,1226,429.68122979954984,644.0,7.772145788076274
follow,1202,421.2698517284331,1016.0,12.261646150132755
begin,1199,420.2184294695435,1028.0,12.406468742457157
set,1195,418.8165331243573,1029.0,12.418537291817524
remain,1186,415.6622663476885,982.0,11.85131547188028
kill,1155,404.797569672496,775.0,9.353125754284335
hope,1140,399.54045837804796,944.0,11.392710596186339
face,1140,399.54045837804796,907.0,10.946174269852763
like,1129,395.6852434287861,1036.0,12.503017137340091
receive,1083,379.5634354591456,865.0,10.439295196717355
meet,1069,374.65679825099414,870.0,10.499637943519188
grow,1058,370.80158330173225,831.0,10.02896451846488
lose,1057,370.45110921543574,787.0,9.497948346608737
run,1009,353.6283530732021,831.0,10.02896451846488
join,1005,352.226456728016,834.0,10.06517016654598
send,996,349.0721899513472,785.0,9.473811247888003
provide,992,347.67029360616107,824.0,9.944484672942313
accord,986,345.56744908838186,842.0,10.161718561428916
stay,967,338.90844144874774,792.0,9.558291093410572
change,965,338.20749327615465,752.0,9.075549118995898
pay,918,321.7352112202176,646.0,7.796282886797007
check,912,319.6323667024384,857.0,10.34274680183442
stop,892,312.62288497650775,758.0,9.147960415158098
add,886,310.52004045872854,761.0,9.1841660632392
build,885,310.169566372432,701.0,8.460053101617186
die,878,307.71624776835625,640.0,7.723871590634805
reach,865,303.16008464650133,732.0,8.834178131788558
hit,864,302.8096105602048,694.0,8.375573256094619
announce,851,298.25344743834984,704.0,8.496258749698287
forget,849,297.5524992657568,800.0,9.654839488293506
increase,838,293.6972843164949,693.0,8.36350470673425
turn,834,292.2953879713088,739.0,8.918657977311128
support,805,282.13163946870935,657.0,7.929036929761042
seem,800,280.37926903722666,666.0,8.037653874004343
rise,799,280.0287949509301,644.0,7.772145788076274
stand,797,279.32784677833706,702.0,8.472121650977552
wait,780,273.369787311296,629.0,7.59111754767077
end,765,268.112676016848,667.0,8.049722423364711
open,758,265.65935741277224,605.0,7.301472363021964
cause,756,264.9584092401792,632.0,7.62732319575187
create,752,263.55651289499303,613.0,7.3980207579048995
decide,752,263.55651289499303,644.0,7.772145788076274
carry,744,260.75272020462074,620.0,7.482500603427468
plan,739,259.00034977313817,642.0,7.74800868935554
return,733,256.89750525535896,580.0,6.999758629012792
protect,732,256.5470311690624,571.0,6.89114168476949
fight,712,249.5375494431317,578.0,6.975621530292059
play,702,246.0328085801664,524.0,6.323919864832248
develop,698,244.6309122349803,545.0,6.577359401399951
click,688,241.1261713720149,680.0,8.20661356504948
alert,684,239.7242750268288,678.0,8.182476466328747
subscribe,669,234.46716373238078,669.0,8.073859522085446
release,661,231.66337104200852,504.0,6.08254887762491
fall,654,229.2100524379328,533.0,6.4325368090755495
ensure,652,228.50910426533972,525.0,6.335988414192614
understand,649,227.4576820064501,539.0,6.50494810523775
affect,645,226.05578566126397,535.0,6.456673907796283
raise,642,225.0043634023744,535.0,6.456673907796283
win,631,221.14914845311253,405.0,4.887762490948588
arrive,621,217.6444075901472,512.0,6.179097272507845
learn,617,216.24251124496107,475.0,5.73256094617427
base,609,213.43871855458877,534.0,6.444605358435916
warn,608,213.08824446829226,511.0,6.167028723147477
confirm,604,211.68634812310611,476.0,5.744629495534637
pass,602,210.98539995051306,474.0,5.720492396813903
close,588,206.0787627423616,480.0,5.792903692976104
offer,582,203.9759182245824,493.0,5.9497948346608736
force,581,203.62544413828587,494.0,5.961863384021241
involve,579,202.9244959656928,507.0,6.118754525706009
consider,577,202.22354779309973,502.0,6.058411778904175
test,576,201.8730737068032,436.0,5.261887521119961
travel,557,195.21406606716906,420.0,5.068790731354091
share,553,193.81216972198294,456.0,5.503258508327299
prevent,551,193.11122154938985,479.0,5.780835143615738
require,548,192.05979929050025,465.0,5.611875452570601
deal,544,190.6579029453141,456.0,5.503258508327299
serve,542,189.95695477272105,443.0,5.3463673666425295
accuse,542,189.95695477272105,423.0,5.1049963794351925
shoot,542,189.95695477272105,351.0,4.236060825488776
visit,538,188.55505842753493,431.0,5.201544774318127
agree,528,185.05031756456958,428.0,5.1653391262370265
enter,526,184.34936939197652,447.0,5.394641564083997
push,517,181.19510261530775,453.0,5.4670528602461985
drive,515,180.49415444271466,437.0,5.273956070480328
launch,509,178.39130992493546,413.0,4.984310885831523
mention,508,178.04083583863894,410.0,4.948105237750423
appear,504,176.6389394934528,425.0,5.129133478155926
spread,503,176.28846540715625,417.0,5.03258508327299
urge,501,175.5875172345632,452.0,5.454984310885831
love,499,174.8865690619701,391.0,4.718802799903451
remember,498,174.5360949756736,417.0,5.03258508327299
spend,493,172.78372454419093,430.0,5.18947622495776
arrest,487,170.68088002641173,333.0,4.018826937002172
claim,480,168.22756142233598,395.0,4.767076997344919
sign,479,167.87708733603944,372.0,4.489500362056481
cover,475,166.47519099085335,429.0,5.177407675597393
prepare,474,166.1247169045568,417.0,5.03258508327299
reduce,469,164.37234647307415,382.0,4.610185855660149
seek,461,161.56855378270185,391.0,4.718802799903451
produce,452,158.41428700603308,320.0,3.8619357953174025
describe,451,158.06381291973653,393.0,4.7429398986241855
walk,450,157.71333883344,352.0,4.248129374849143
wear,438,153.50764979788158,327.0,3.946415640839971
sell,436,152.80670162528853,321.0,3.87400434467777
buy,430,150.70385710750935,330.0,3.982621288921072
fly,423,148.2505385034336,302.0,3.644701906830799
deliver,418,146.49816807195091,350.0,4.223992276128409
expand,418,146.49816807195091,351.0,4.236060825488776
miss,415,145.4467458130613,328.0,3.9584841902003376
cut,413,144.74579764046825,349.0,4.211923726768043
improve,412,144.39532355417174,348.0,4.1998551774076756
discuss,409,143.34390129528214,336.0,4.055032585083273
respond,406,142.29247903639254,349.0,4.211923726768043
manage,406,142.29247903639254,345.0,4.163649529326575
vote,402,140.8905826912064,213.0,2.570601013758146
address,398,139.48868634602024,336.0,4.055032585083273
aim,394,138.08679000083413,362.0,4.368814868452811
suffer,383,134.23157505157226,330.0,3.982621288921072
fail,382,133.88110096527572,325.0,3.9222785421192374
save,381,133.5306268789792,306.0,3.692976104272266
focus,381,133.5306268789792,332.0,4.006758387641805
approve,373,130.72683418860692,291.0,3.5119478638667636
express,371,130.02588601601386,323.0,3.8981414433985035
welcome,367,128.62398967082774,332.0,4.006758387641805
mark,365,127.92304149823467,329.0,3.970552739560705
sit,360,126.17067106675199,324.0,3.9102099927588703
compare,360,126.17067106675199,310.0,3.741250301713734
achieve,359,125.82019698045545,293.0,3.536084962587497
relate,359,125.82019698045545,317.0,3.8257301472363023
issue,357,125.11924880786239,307.0,3.7050446536326334
head,355,124.41830063526933,331.0,3.9946898382814386
