,word,frequency,per_million,doc_freq,doc_percentage
7,vaccine,3932,1378.064107317969,1056.0,12.744388124547427
39,official,1563,547.7909968814816,1115.0,13.456432536809075
48,channel,1460,511.6921659929386,767.0,9.2565773594014
63,region,1285,450.35920089104536,823.0,9.932416123581946
64,minister,1272,445.8030377691904,804.0,9.703113685734976
66,election,1226,429.6812297995497,508.0,6.1308230750663775
76,dose,1116,391.12908030693114,486.0,5.865314989138305
77,variant,1091,382.3672281495178,461.0,5.563601255129133
82,term,1081,378.8624872865525,802.0,9.67897658701424
87,virus,1042,365.1939979209877,604.0,7.289403813661598
89,measure,1030,360.9883088854293,733.0,8.846246681148926
91,infection,1023,358.5349902813536,631.0,7.615254646391502
93,coronavirus,1011,354.3293012457952,774.0,9.341057204923967
106,thousand,905,317.17904809836267,722.0,8.71349263818489
107,decision,905,317.17904809836267,637.0,7.687665942553705
109,economy,896,314.02478132169387,588.0,7.096307023895728
112,medium,879,308.0667218546528,633.0,7.639391745112237
113,risk,878,307.71624776835625,659.0,7.953174028481778
120,development,855,299.655343783536,652.0,7.868694182959207
121,restriction,854,299.30486969723944,575.0,6.939415882210959
129,crisis,825,289.14112119464,583.0,7.0359642770938935
130,app,824,288.7906471083435,706.0,8.52039584841902
134,policy,813,284.9354321590816,541.0,6.529085203958484
147,supply,759,266.0098314990688,501.0,6.046343229543809
150,correspondent,746,261.4536683772139,684.0,8.25488776249095
154,climate,710,248.83660127053867,341.0,4.115375331885107
155,governor,709,248.4861271842421,362.0,4.368814868452811
163,investigation,693,242.87854180349757,429.0,5.177407675597394
169,talk,663,232.36431921460158,430.0,5.18947622495776
173,charge,653,228.85957835163623,420.0,5.068790731354091
179,organization,628,220.0977261942229,461.0,5.563601255129133
180,trial,624,218.69582984903684,322.0,3.8860728940381364
185,need,617,216.2425112449611,532.0,6.420468259715183
188,threat,611,214.13966672718186,464.0,5.599806903210234
192,agreement,600,210.28445177792,386.0,4.658460053101617
193,data,597,209.23302951903042,423.0,5.1049963794351925
196,sector,586,205.37781456976853,365.0,4.405020516533913
197,violence,584,204.67686639717544,385.0,4.646391503741251
199,record,580,203.27497005198933,446.0,5.38257301472363
201,defense,577,202.2235477930997,385.0,4.646391503741251
203,decade,572,200.4711773616171,497.0,5.99806903210234
204,vehicle,570,199.770229189024,341.0,4.115375331885107
208,mask,557,195.21406606716903,299.0,3.6084962587496983
217,safety,544,190.6579029453141,420.0,5.068790731354091
237,victim,497,174.18562088937702,334.0,4.03089548636254
242,land,482,168.9285095949291,317.0,3.8257301472363023
251,energy,466,163.32092421418454,263.0,3.1740284817764906
252,troop,460,161.2180796964053,272.0,3.2826454260197924
257,weapon,452,158.4142870060331,276.0,3.3309196234612597
259,delta,450,157.71333883344,252.0,3.041274438812455
268,sanction,431,151.05433119380587,212.0,2.55853246439778
274,pfizer,416,145.79721989935788,224.0,2.7033550567221822
277,relation,412,144.39532355417174,297.0,3.5843591600289644
282,access,403,141.2410567775029,326.0,3.9343470914796037
297,omicron,383,134.23157505157226,151.0,1.8223509534153997
303,conflict,380,133.18015279268263,270.0,3.2585083272990585
305,dozen,379,132.82967870638612,347.0,4.187786628047308
313,rest,370,129.67541192971728,326.0,3.9343470914796037
316,booster,367,128.62398967082774,158.0,1.906830798937968
318,investment,366,128.27351558453122,243.0,2.9326574945691526
319,tension,365,127.9230414982347,285.0,3.439536567704562
321,sort,363,127.2220933256416,272.0,3.2826454260197924
330,conference,358,125.46972289415892,287.0,3.4636736664252967
338,increase,351,123.0164042900832,291.0,3.511947863866764
339,chief,351,123.0164042900832,235.0,2.8361090996862184
341,firm,350,122.66593020378666,224.0,2.7033550567221822
343,amount,347,121.61450794489706,309.0,3.7291817523533672
345,democracy,347,121.61450794489706,226.0,2.727492155442916
354,treatment,339,118.81071525452481,232.0,2.799903451605117
357,employee,338,118.46024116822826,228.0,2.7516292541636496
358,environment,338,118.46024116822826,270.0,3.2585083272990585
361,suspect,335,117.40881890933866,162.0,1.9551049963794351
362,parliament,335,117.40881890933866,235.0,2.8361090996862184
377,surge,324,113.55360396007679,257.0,3.1016171856142893
390,ally,313,109.69838901081492,234.0,2.8240405503258508
392,loss,311,108.99744083822185,243.0,2.9326574945691526
394,rise,311,108.99744083822185,273.0,3.2947139753801586
395,ceremony,311,108.99744083822185,222.0,2.6792179580014484
396,astrazeneca,310,108.64696675192532,142.0,1.7137340091720976
404,option,303,106.1936481478496,251.0,3.029205889452088
408,rescue,300,105.14222588896,181.0,2.1844074342264057
412,district,297,104.0908036300704,221.0,2.667149408641081
415,prefecture,295,103.38985545747732,190.0,2.293024378469708
423,fuel,290,101.63748502599466,152.0,1.8344195027757664
427,race,285,99.885114594512,199.0,2.40164132271301
434,disaster,279,97.78227007673279,208.0,2.510258266956312
436,tax,277,97.08132190413971,117.0,1.4120202751629254
437,crew,276,96.73084781784321,181.0,2.1844074342264057
438,export,276,96.73084781784321,144.0,1.7378711078928313
443,past,274,96.02989964525013,249.0,3.005068790731354
446,claim,269,94.2775292137675,221.0,2.667149408641081
447,quarantine,269,94.2775292137675,160.0,1.9309678976587008
448,press,269,94.2775292137675,214.0,2.5826695631185133
457,migrant,263,92.17468469598828,83.0,1.0016895969104511
460,tech,262,91.82421060969172,161.0,1.9430364470190684
463,olympic,261,91.47373652339519,161.0,1.9430364470190684
471,comment,257,90.07184017820906,200.0,2.4137098720733765
474,ambassador,257,90.07184017820906,152.0,1.8344195027757664
476,oxygen,256,89.72136609191254,104.0,1.255129133478156
477,regime,255,89.370892005616,171.0,2.0637219406227367
