,word,frequency,per_million,doc_freq,doc_percentage
30,report,1799,630.5028812474635,1403.0,16.93217475259474
42,lead,1358,475.9438091906922,1100.0,13.275404296403575
52,vaccinate,1226,429.6812297995497,644.0,7.772145788076273
58,hope,1140,399.540458378048,944.0,11.39271059618634
80,announce,851,298.2534474383498,704.0,8.496258749698287
84,support,805,282.1316394687093,657.0,7.929036929761042
86,rise,799,280.0287949509301,644.0,7.772145788076273
95,plan,739,259.00034977313817,642.0,7.74800868935554
97,protect,732,256.54703116906245,571.0,6.89114168476949
98,fight,712,249.53754944313167,578.0,6.9756215302920594
102,alert,684,239.7242750268288,678.0,8.182476466328747
104,release,661,231.66337104200846,504.0,6.08254887762491
106,ensure,652,228.5091042653397,525.0,6.335988414192613
108,affect,645,226.055785661264,535.0,6.456673907796283
113,base,609,213.4387185545888,534.0,6.444605358435916
114,warn,608,213.08824446829223,511.0,6.167028723147478
115,confirm,604,211.6863481231061,476.0,5.744629495534638
119,force,581,203.62544413828587,494.0,5.961863384021242
120,involve,579,202.9244959656928,507.0,6.1187545257060085
122,test,576,201.87307370680318,436.0,5.261887521119961
126,require,548,192.05979929050025,465.0,5.611875452570602
127,deal,544,190.6579029453141,456.0,5.503258508327299
136,launch,509,178.39130992493546,413.0,4.9843108858315235
137,mention,508,178.04083583863894,410.0,4.948105237750423
140,urge,501,175.58751723456317,452.0,5.454984310885831
144,arrest,487,170.68088002641173,333.0,4.018826937002172
146,sign,479,167.87708733603944,372.0,4.489500362056481
149,reduce,469,164.37234647307415,382.0,4.6101858556601485
159,expand,418,146.49816807195091,351.0,4.236060825488776
164,respond,406,142.29247903639254,349.0,4.211923726768043
166,vote,402,140.8905826912064,213.0,2.5706010137581456
168,aim,394,138.08679000083413,362.0,4.368814868452811
169,suffer,383,134.23157505157226,330.0,3.982621288921072
173,approve,373,130.72683418860694,291.0,3.511947863866764
174,express,371,130.02588601601386,323.0,3.898141443398504
180,relate,359,125.82019698045544,317.0,3.8257301472363023
181,issue,357,125.11924880786242,307.0,3.705044653632634
183,conduct,355,124.41830063526932,317.0,3.8257301472363023
