gram,freq,doc_freq,ttr_s1,norm_ent_s1
the u s,1962,1108,,
a lot of,1589,1077,,
more than #,1551,1207,,
one of the,1458,1204,,
the abc news,1321,659,,
it s a,1238,998,,
the united states,1232,790,,
it s not,864,738,,
going to be,820,620,,
the end of,771,669,,
as well as,733,634,,
# percent of,725,576,,
i don t,724,558,,
be able to,708,601,,
this is a,706,625,,
and it s,703,617,,
d like to,699,691,,
to get more,690,685,,
on the right,687,685,,
thanks for watching,686,685,,
and don t,677,676,,
don t forget,675,674,,
like to get,663,663,,
and don t forget,662,662,,
over here to,661,661,,
right over here,661,661,,
t forget to,661,661,,
to download the,661,660,,
click on the,660,659,,
d like to get,660,660,,
don t forget to,660,660,,
for checking out,660,660,,
get more videos,660,660,,
here thanks for,660,660,,
here thanks for checking,660,660,,
here thanks for checking out,660,660,,
if you d,660,660,,
right over here to,660,660,,
thanks for checking,660,660,,
thanks for checking out,660,660,,
to get more videos,660,660,,
to subscribe to,660,660,,
you d like,660,660,,
abc news app,659,659,,
abc news app for,659,659,,
abc news app for breaking,659,659,,
abc news youtube,659,659,,
abc news youtube channel,659,659,,
abc news youtube channel if,659,659,,
alerts thanks for,659,659,,
alerts thanks for watching,659,659,,
and don t forget to,659,659,,
and watch live,659,659,,
and watch live event,659,659,,
and watch live event coverage,659,659,,
app for breaking,659,659,,
app for breaking news,659,659,,
app for breaking news alerts,659,659,,
breaking news alerts,659,659,,
breaking news alerts thanks,659,659,,
breaking news alerts thanks for,659,659,,
channel and don,659,659,,
channel and don t,659,659,,
channel and don t forget,659,659,,
channel if you,659,659,,
channel if you d,659,659,,
channel if you d like,659,659,,
checking out the,659,659,,
checking out the abc,659,659,,
checking out the abc news,659,659,,
click on the right,659,659,,
click on the right over,659,659,,
coverage click on,659,659,,
coverage click on the,659,659,,
coverage click on the right,659,659,,
d like to get more,659,659,,
don t forget to download,659,659,,
download the abc,659,659,,
download the abc news,659,659,,
download the abc news app,659,659,,
event coverage click,659,659,,
event coverage click on,659,659,,
event coverage click on the,659,659,,
everyone george stephanopoulos,659,659,,
everyone george stephanopoulos here,659,659,,
everyone george stephanopoulos here thanks,659,659,,
for breaking news,659,659,,
for breaking news alerts,659,659,,
for breaking news alerts thanks,659,659,,
for checking out the,659,659,,
for checking out the abc,659,659,,
forget to download,659,659,,
forget to download the,659,659,,
forget to download the abc,659,659,,
george stephanopoulos here,659,659,,
george stephanopoulos here thanks,659,659,,
george stephanopoulos here thanks for,659,659,,
get more videos show,659,659,,
get more videos show highlights,659,659,,
here to subscribe,659,659,,
here to subscribe to,659,659,,
here to subscribe to our,659,659,,
highlights and watch,659,659,,
highlights and watch live,659,659,,
highlights and watch live event,659,659,,
if you d like,659,659,,
if you d like to,659,659,,
like to get more,659,659,,
like to get more videos,659,659,,
live event coverage,659,659,,
live event coverage click,659,659,,
live event coverage click on,659,659,,
more videos show,659,659,,
more videos show highlights,659,659,,
more videos show highlights and,659,659,,
news alerts thanks,659,659,,
news alerts thanks for,659,659,,
news alerts thanks for watching,659,659,,
news app for,659,659,,
news app for breaking,659,659,,
news app for breaking news,659,659,,
news youtube channel,659,659,,
news youtube channel if,659,659,,
news youtube channel if you,659,659,,
on the right over,659,659,,
on the right over here,659,659,,
our channel and,659,659,,
our channel and don,659,659,,
our channel and don t,659,659,,
out the abc,659,659,,
out the abc news,659,659,,
out the abc news youtube,659,659,,
over here to subscribe,659,659,,
over here to subscribe to,659,659,,
right over here to subscribe,659,659,,
show highlights and,659,659,,
show highlights and watch,659,659,,
show highlights and watch live,659,659,,
stephanopoulos here thanks,659,659,,
stephanopoulos here thanks for,659,659,,
stephanopoulos here thanks for checking,659,659,,
subscribe to our,659,659,,
subscribe to our channel,659,659,,
subscribe to our channel and,659,659,,
t forget to download,659,659,,
t forget to download the,659,659,,
thanks for checking out the,659,659,,
the abc news app,659,659,,
the abc news app for,659,659,,
the abc news youtube,659,659,,
the abc news youtube channel,659,659,,
the right over,659,659,,
the right over here,659,659,,
the right over here to,659,659,,
to download the abc,659,659,,
to download the abc news,659,659,,
to get more videos show,659,659,,
to our channel,659,659,,
to our channel and,659,659,,
to our channel and don,659,659,,
to subscribe to our,659,659,,
to subscribe to our channel,659,659,,
videos show highlights,659,659,,
videos show highlights and,659,659,,
videos show highlights and watch,659,659,,
watch live event,659,659,,
watch live event coverage,659,659,,
watch live event coverage click,659,659,,
you d like to,659,659,,
you d like to get,659,659,,
youtube channel if,659,659,,
youtube channel if you,659,659,,
youtube channel if you d,659,659,,
hi everyone george,657,657,,
hi everyone george stephanopoulos,657,657,,
hi everyone george stephanopoulos here,657,657,,
this is the,654,586,,
some of the,652,561,,
# year old,643,510,,
on the move,621,616,,
in the country,618,519,,
the country s,618,527,,
in your country,599,599,,
download the app,598,597,,
get all the,597,597,,
all the news,595,595,,
country download the,595,595,,
country download the app,595,595,,
get all the news,595,595,,
in your country download,595,595,,
in your country download the,595,595,,
your country download,595,595,,
your country download the,595,595,,
your country download the app,595,595,,
and that s,594,534,,
now available in,592,592,,
available in your,590,590,,
available in your country,590,590,,
available in your country download,590,590,,
now available in your,590,590,,
now available in your country,590,590,,
the number of,581,463,,
the first time,567,510,,
we don t,562,466,,
download the app now,544,544,,
the app now,544,544,,
country download the app now,543,543,,
there s a,537,481,,
re going to,536,433,,
part of the,527,480,,
is going to,524,422,,
don t know,514,422,,
news on the,507,507,,
of the country,506,450,,
the news on,490,490,,
all the news on,489,489,,
all the news on the,489,489,,
get all the news on,489,489,,
news on the move,489,489,,
the news on the,489,489,,
the news on the move,489,489,,
in terms of,473,375,,
is now available,472,472,,
is now available in,472,472,,
is now available in your,472,472,,
than # #,465,402,,
but it s,445,423,,
more than # #,445,386,,
of covid #,443,373,,
in the world,442,379,,
# to #,441,385,,
there is a,434,394,,
the world s,430,346,,
s going to,427,362,,
around the world,421,376,,
of the world,419,356,,
in the last,413,369,,
to be a,409,388,,
across the country,401,348,,
out of the,397,350,,
don t have,395,328,,
and this is,391,357,,
according to the,383,354,,
at least #,379,331,,
for the first,379,348,,
it s the,376,345,,
the covid #,372,331,,
in the past,371,345,,
the fact that,370,313,,
and get all,368,368,,
and get all the,368,368,,
and get all the news,368,368,,
it s been,366,327,,
we have to,364,300,,
is one of,363,339,,
because of the,361,332,,
that s the,361,331,,
are going to,360,317,,
that it s,356,323,,
so it s,353,318,,
i think it,352,308,,
in order to,350,307,,
we need to,348,278,,
for the first time,344,316,,
percent of the,342,310,,
# # people,341,295,,
a little bit,338,273,,
i think that,337,285,,
# # million,330,263,,
end of the,330,302,,
you can see,323,267,,
is expected to,322,291,,
there s no,321,281,,
we re going,321,269,,
in the u,319,261,,
in the united,317,263,,
app now and,316,316,,
app now and get,316,316,,
app now and get all,316,316,,
download the app now and,316,316,,
now and get,316,316,,
now and get all,316,316,,
now and get all the,316,316,,
the app now and,316,316,,
the app now and get,316,316,,
of the pandemic,314,279,,
in the u s,308,256,,
more than a,308,285,,
the end of the,308,281,,
they don t,307,257,,
# # percent,303,200,,
up to #,303,275,,
in the region,302,255,,
the prime minister,299,212,,
i want to,294,249,,
we re going to,293,244,,
and i think,292,253,,
the white house,287,207,,
to make sure,287,260,,
members of the,282,235,,
think it s,282,254,,
it s just,280,250,,
due to the,279,260,,
state of emergency,279,181,,
parts of the,277,264,,
it was a,276,256,,
it will be,276,263,,
that s why,274,257,,
the same time,274,256,,
at the same,271,253,,
that we re,271,239,,
the rest of,271,241,,
a number of,269,236,,
it is a,269,239,,
# percent of the,268,249,,
at the moment,268,220,,
and of course,265,232,,
here in the,265,236,,
in the united states,265,225,,
people have been,262,233,,
said that the,261,235,,
the federal government,261,188,,
and i m,259,233,,
of the most,258,239,,
we ve seen,258,215,,
when it comes,258,219,,
about # #,257,237,,
at the same time,256,239,,
it comes to,255,217,,
of the #,255,244,,
south korea s,255,189,,
there is no,255,242,,
u s president,255,227,,
and a half,254,221,,
it s very,254,229,,
of # #,253,222,,
president joe biden,252,227,,
at the end,249,225,,
when it comes to,248,211,,
there was a,246,225,,
there will be,245,221,,
to # #,244,224,,
that s what,241,223,,
that this is,241,225,,
world is one,239,219,,
that we have,237,217,,
to be able,236,219,,
# # billion,235,173,,
# million people,235,207,,
the spread of,235,214,,
you know the,235,207,,
is one of the,234,221,,
thank you very,234,217,,
at this point,233,187,,
in the uk,233,174,,
you don t,233,208,,
at the end of,232,213,,
to be able to,232,217,,
you very much,232,217,,
they want to,231,186,,
this is not,231,213,,
by the end,230,207,,
over # #,230,205,,
thank you very much,230,215,,
we want to,230,199,,
by the end of,228,205,,
don t want,228,196,,
i don t know,228,199,,
will continue to,228,210,,
app now get,227,227,,
app now get all,227,227,,
app now get all the,227,227,,
download the app now get,227,227,,
i think it s,227,206,,
now get all,227,227,,
now get all the,227,227,,
now get all the news,227,227,,
the app now get,227,227,,
the app now get all,227,227,,
i think the,226,197,,
we have a,226,212,,
i m not,225,197,,
most of the,225,211,,
so this is,225,196,,
that s a,224,211,,
you hi everyone,224,224,,
you hi everyone george,224,224,,
you hi everyone george stephanopoulos,224,224,,
in the city,223,198,,
in the state,222,169,,
as part of,221,210,,
on the ground,221,189,,
we know that,221,194,,
in new york,220,158,,
the delta variant,220,131,,
we re seeing,220,174,,
# billion dollars,219,166,,
and we re,219,207,,
thank you hi,219,219,,
they ve been,219,197,,
we ve been,219,189,,
is the first,218,207,,
a # year,217,189,,
the state of,217,178,,
make sure that,216,192,,
thank you hi everyone,216,216,,
thank you hi everyone george,216,216,,
is going to be,215,185,,
look at the,215,198,,
to get the,215,188,,
of the people,214,188,,
will be a,214,196,,
lot of people,213,184,,
the biden administration,213,168,,
to be the,213,207,,
not going to,212,193,,
there have been,212,197,,
don t think,211,182,,
it s it,211,165,,
a lot of people,210,182,,
of the state,210,164,,
people who are,209,183,,
s it s,209,166,,
that they are,209,195,,
that they re,209,186,,
and that is,208,192,,
s going to be,208,184,,
the # year,207,190,,
in the middle,205,187,,
it s also,204,197,,
it s going,204,179,,
the european union,204,139,,
have to be,203,175,,
the city of,203,180,,
# of the,201,185,,
because it s,201,191,,
to have a,201,193,,
and you know,200,172,,
will have to,200,177,,
and they re,199,182,,
need to be,199,177,,
the #th of,199,170,,
that we are,198,189,,
the united nations,198,160,,
it s it s,197,154,,
one of the most,197,185,,
that it is,197,179,,
# years old,196,187,,
the government has,196,184,,
# and #,195,180,,
u s and,195,170,,
in south korea,194,146,,
# million dollars,193,155,,
it s going to,193,169,,
over the past,193,178,,
thank you for,193,177,,
at least one,192,176,,
of thousands of,192,179,,
around # #,190,177,,
t want to,189,164,,
the # year old,189,173,,
it doesn t,188,171,,
so i think,188,160,,
this is what,188,175,,
will not be,188,176,,
covid # pandemic,187,178,,
# people have,185,168,,
has been a,185,181,,
in the area,185,159,,
the people of,185,157,,
that there is,184,180,,
the start of,184,171,,
to deal with,184,170,,
rest of the,183,166,,
the government s,182,167,,
the rest of the,181,164,,
united states and,181,163,,
says it s,180,171,,
in the coming,178,171,,
than # million,178,165,,
to go to,178,169,,
back to the,177,169,,
covid # cases,177,151,,
now it s,177,168,,
that you know,177,155,,
the government is,177,164,,
they re not,177,158,,
a # year old,176,150,,
for more than,176,171,,
i don t think,176,151,,
to ensure that,176,160,,
to make sure that,176,162,,
in # and,175,168,,
it is the,174,166,,
of the virus,174,150,,
they re going,174,146,,
to try to,174,158,,
we can t,174,146,,
# years ago,173,157,,
all of this,173,148,,
and there s,173,169,,
more than # million,173,162,,
thank you so,173,156,,
that s not,173,155,,
won t be,173,159,,
# million doses,172,121,,
i can t,172,152,,
the united states and,172,155,,
we don t know,172,142,,
as soon as,171,157,,
at the time,171,158,,
the last #,171,151,,
you so much,171,154,,
between the two,170,138,,
i ve been,170,152,,
thank you so much,170,153,,
all of the,169,152,,
are expected to,169,158,,
you know we,169,153,,
in the future,168,151,,
it has been,168,155,,
as a result,167,158,,
in the first,167,160,,
of the population,167,145,,
that have been,167,157,,
the covid # pandemic,167,161,,
the u n,167,126,,
to try and,167,147,,
i think we,165,152,,
so that s,165,154,,
the head of,165,142,,
you know it,165,150,,
and in the,164,159,,
first of all,164,148,,
it s really,164,154,,
will be able,164,152,,
at # #,163,142,,
than # percent,163,147,,
uh you know,163,130,,
of the world s,162,143,,
the country and,162,155,,
will be able to,161,149,,
in the next,160,149,,
in this country,160,141,,
on the other,159,146,,
the nation s,159,142,,
s a lot,158,147,,
the use of,158,130,,
they re going to,158,131,,
we re not,158,139,,
world health organization,158,131,,
you have to,158,132,,
is set to,157,151,,
of the year,157,144,,
the age of,157,133,,
thousands of people,156,141,,
to see the,156,146,,
is that the,155,143,,
needs to be,155,141,,
of the united,155,124,,
take a look,155,146,,
the last few,155,142,,
if you re,154,131,,
people in the,154,148,,
that there are,154,150,,
