,gram,freq,doc_freq,ttr_s1,norm_ent_s1
2,a lot of,1589,1077,,
3,more than #,1551,1207,,
4,one of the,1458,1204,,
9,going to be,820,620,,
10,the end of,771,669,,
11,as well as,733,634,,
12,# percent of,725,576,,
14,be able to,708,601,,
177,this is the,654,586,,
178,some of the,652,561,,
179,# year old,643,510,,
181,in the country,618,519,,
202,the number of,581,463,,
203,the first time,567,510,,
209,re going to,536,433,,
210,part of the,527,480,,
211,is going to,524,422,,
214,of the country,506,450,,
230,in the world,442,379,,
235,around the world,421,376,,
236,of the world,419,356,,
237,in the last,413,369,,
239,across the country,401,348,,
240,out of the,397,350,,
243,according to the,383,354,,
244,at least #,379,331,,
248,in the past,371,345,,
249,the fact that,370,313,,
254,we have to,364,300,,
255,is one of,363,339,,
256,because of the,361,332,,
258,are going to,360,317,,
262,in order to,350,307,,
263,we need to,348,278,,
264,for the first time,344,316,,
265,percent of the,342,310,,
267,a little bit,338,273,,
268,i think that,337,285,,
270,end of the,330,302,,
271,you can see,323,267,,
272,is expected to,322,291,,
286,of the pandemic,314,279,,
287,in the u s,308,256,,
288,more than a,308,285,,
289,the end of the,308,281,,
292,up to #,303,275,,
293,in the region,302,255,,
294,the prime minister,299,212,,
295,i want to,294,249,,
296,we re going to,293,244,,
297,and i think,292,253,,
298,the white house,287,207,,
299,to make sure,287,260,,
300,members of the,282,235,,
303,due to the,279,260,,
304,state of emergency,279,181,,
305,parts of the,277,264,,
306,it was a,276,256,,
307,it will be,276,263,,
312,the rest of,271,241,,
313,a number of,269,236,,
315,# percent of the,268,249,,
316,at the moment,268,220,,
317,and of course,265,232,,
318,here in the,265,236,,
319,in the united states,265,225,,
320,people have been,262,233,,
321,said that the,261,235,,
322,the federal government,261,188,,
324,of the most,258,239,,
328,at the same time,256,239,,
330,of the #,255,244,,
332,there is no,255,242,,
334,and a half,254,221,,
335,it s very,254,229,,
337,president joe biden,252,227,,
338,at the end,249,225,,
339,when it comes to,248,211,,
340,there was a,246,225,,
341,there will be,245,221,,
344,that this is,241,225,,
346,that we have,237,217,,
349,# million people,235,207,,
350,the spread of,235,214,,
351,you know the,235,207,,
352,is one of the,234,221,,
354,at this point,233,187,,
355,in the uk,233,174,,
357,at the end of,232,213,,
358,to be able to,232,217,,
360,they want to,231,186,,
361,this is not,231,213,,
364,thank you very much,230,215,,
365,we want to,230,199,,
366,by the end of,228,205,,
368,i don t know,228,199,,
369,will continue to,228,210,,
374,i think it s,227,206,,
380,i think the,226,197,,
381,we have a,226,212,,
383,most of the,225,211,,
384,so this is,225,196,,
389,in the city,223,198,,
390,in the state,222,169,,
391,as part of,221,210,,
392,on the ground,221,189,,
393,we know that,221,194,,
394,in new york,220,158,,
395,the delta variant,220,131,,
397,# billion dollars,219,166,,
402,is the first,218,207,,
404,the state of,217,178,,
405,make sure that,216,192,,
408,is going to be,215,185,,
409,look at the,215,198,,
410,to get the,215,188,,
411,of the people,214,188,,
414,the biden administration,213,168,,
415,to be the,213,207,,
416,not going to,212,193,,
417,there have been,212,197,,
420,a lot of people,210,182,,
421,of the state,210,164,,
422,people who are,209,183,,
424,that they are,209,195,,
426,and that is,208,192,,
427,s going to be,208,184,,
428,the # year,207,190,,
429,in the middle,205,187,,
432,the european union,204,139,,
433,have to be,203,175,,
434,the city of,203,180,,
435,# of the,201,185,,
437,to have a,201,193,,
438,and you know,200,172,,
439,will have to,200,177,,
441,need to be,199,177,,
442,the #th of,199,170,,
443,that we are,198,189,,
444,the united nations,198,160,,
446,one of the most,197,185,,
447,that it is,197,179,,
448,# years old,196,187,,
449,the government has,196,184,,
452,in south korea,194,146,,
453,# million dollars,193,155,,
454,it s going to,193,169,,
455,over the past,193,178,,
456,thank you for,193,177,,
457,at least one,192,176,,
458,of thousands of,192,179,,
461,the # year old,189,173,,
463,so i think,188,160,,
464,this is what,188,175,,
465,will not be,188,176,,
467,# people have,185,168,,
468,has been a,185,181,,
469,in the area,185,159,,
470,the people of,185,157,,
471,that there is,184,180,,
472,the start of,184,171,,
473,to deal with,184,170,,
476,the rest of the,181,164,,
479,in the coming,178,171,,
482,back to the,177,169,,
486,the government is,177,164,,
488,a # year old,176,150,,
489,for more than,176,171,,
490,i don t think,176,151,,
491,to ensure that,176,160,,
492,to make sure that,176,162,,
495,of the virus,174,150,,
499,# years ago,173,157,,
500,all of this,173,148,,
502,more than # million,173,162,,
506,# million doses,172,121,,
508,the united states and,172,155,,
509,we don t know,172,142,,
510,as soon as,171,157,,
511,at the time,171,158,,
512,the last #,171,151,,
514,between the two,170,138,,
516,thank you so much,170,153,,
517,all of the,169,152,,
518,are expected to,169,158,,
520,in the future,168,151,,
521,it has been,168,155,,
522,as a result,167,158,,
523,in the first,167,160,,
524,of the population,167,145,,
525,that have been,167,157,,
526,the covid-19 pandemic,167,161,,
528,to try and,167,147,,
529,i think we,165,152,,
531,the head of,165,142,,
532,you know it,165,150,,
533,and in the,164,159,,
534,first of all,164,148,,
536,will be able,164,152,,
538,than # percent,163,147,,
539,uh you know,163,130,,
540,of the world s,162,143,,
541,the country and,162,155,,
542,will be able to,161,149,,
543,in the next,160,149,,
544,in this country,160,141,,
545,on the other,159,146,,
548,the use of,158,130,,
549,they re going to,158,131,,
551,world health organization,158,131,,
552,you have to,158,132,,
553,is set to,157,151,,
554,of the year,157,144,,
555,the age of,157,133,,
556,thousands of people,156,141,,
557,to see the,156,146,,
558,is that the,155,143,,
559,needs to be,155,141,,
561,take a look,155,146,,
562,the last few,155,142,,
564,people in the,154,148,,
565,that there are,154,150,,
567,going to have,153,132,,
568,the beginning of,153,149,,
571,part of a,152,145,,
572,that is the,152,144,,
573,that we can,152,142,,
574,the international community,152,124,,
575,the west bank,152,76,,
576,in [year] the,151,145,,
578,in the capital,150,135,,
579,that they can,150,144,,
580,in the west,149,112,,
581,is a very,149,141,,
582,the country is,149,142,,
583,a couple of,148,137,,
584,as far as,148,133,,
585,in front of,148,138,,
586,over the last,148,136,,
587,the u s and,148,131,,
588,and we are,147,142,,
590,has said that,147,127,,
591,some of them,147,135,,
592,that they have,147,135,,
593,that will be,147,138,,
594,the middle east,146,117,,
597,and there are,145,142,,
599,that it was,145,137,,
600,a bit of,144,125,,
601,in a statement,144,140,,
602,just a few,144,138,,
603,over the weekend,144,129,,
606,been able to,143,128,,
610,the first time in,143,134,,
611,the world health organization,143,122,,
613,and it is,142,134,,
615,new york city,142,98,,
618,to get a,142,132,,
